"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 27 12:20:33 IST 2024","Fri Sep 27 12:20:37 IST 2024","3645","","AD Warehouse","","","","TC3070 - Verify Warehouse name is a mandatory field",""
"failed","Fri Sep 27 12:20:28 IST 2024","Fri Sep 27 12:20:33 IST 2024","4719","","AD Warehouse","","","","TC3068 - Verify user is able to access the add warehouse page",""
"failed","Fri Sep 27 12:21:05 IST 2024","Fri Sep 27 12:21:12 IST 2024","6520","","AD Warehouse","TC3076 - Verify ""Jurisdiction"" in the Tax details section is a mandatory field","","","TC3076 - Verify ""Jurisdiction"" in the Tax details section is a mandatory field.",""
"failed","Fri Sep 27 12:20:37 IST 2024","Fri Sep 27 12:20:40 IST 2024","3740","","AD Warehouse","TC3071 - Verify warehouse name is a alpha numeric field","","","TC3071 - Verify warehouse name is a alpha numeric field.",""
"failed","Fri Sep 27 12:20:59 IST 2024","Fri Sep 27 12:21:05 IST 2024","5818","","AD Warehouse","TC3075 - Verify user can access the city drop down and pick a city","","","TC3075 - Verify user can access the city drop down and pick a city.",""
"failed","Fri Sep 27 12:20:54 IST 2024","Fri Sep 27 12:20:59 IST 2024","5472","","AD Warehouse","TC3074 - Verify city is a mandatory field","","","TC3074 - Verify city is a mandatory field.",""
"failed","Fri Sep 27 12:20:40 IST 2024","Fri Sep 27 12:20:44 IST 2024","3999","","AD Warehouse","TC3072 - Verify state is a mandatory field","","","TC3072 - Verify state is a mandatory field.",""
"failed","Fri Sep 27 12:21:18 IST 2024","Fri Sep 27 12:21:23 IST 2024","5630","","AD Warehouse","TC3078 - Verify user can access edit warehouse page","","","TC3078 - Verify user can access edit warehouse page.",""
"failed","Fri Sep 27 12:21:12 IST 2024","Fri Sep 27 12:21:18 IST 2024","6012","","AD Warehouse","TC3077 - Verify user can sucessfully create a new warehouse by providing, the mandatory fields","","","TC3077 - Verify user can sucessfully create a new warehouse by providing, the mandatory fields.",""
"failed","Fri Sep 27 12:20:44 IST 2024","Fri Sep 27 12:20:54 IST 2024","9559","","AD Warehouse","TC3073 - Verify user is able to access the state drop down and pick a state","","","TC3073 - Verify user is able to access the state drop down and pick a state.",""
